"origin_city","origin_state","colorado_dest_city","airline","passengers"
"Cleveland","Ohio","Denver","Republic Airlines","200"
"Phoenix","Arizona","Denver","United Air Lines Inc.","15062"
"St. Louis","Missouri","Denver","SkyWest Airlines Inc.","486"
"North Bend/Coos Bay","Oregon","Denver","SkyWest Airlines Inc.","222"
"Missoula","Montana","Denver","Frontier Airlines Inc.","1915"
"Wichita","Kansas","Denver","SkyWest Airlines Inc.","2358"
"Atlanta","Georgia","Denver","Ameristar Air Cargo","0"
"Bozeman","Montana","Denver","SkyWest Airlines Inc.","1513"
"Hartford","Connecticut","Denver","United Air Lines Inc.","3826"
"Cedar Rapids/Iowa City","Iowa","Denver","Trans States Airlines","290"
"New York","New York","Denver","Frontier Airlines Inc.","5148"
"Louisville","Kentucky","Denver","Trans States Airlines","1343"
"Dickinson","North Dakota","Denver","Trans States Airlines","1671"
"Moline","Illinois","Denver","Trans States Airlines","1478"
"Madison","Wisconsin","Denver","United Air Lines Inc.","7084"
"Sacramento","California","Denver","Southwest Airlines Co.","19513"
"Chicago","Illinois","Denver","Kalitta Charters II","0"
"Houston","Texas","Denver","Spirit Air Lines","4919"
"Jackson","Wyoming","Denver","United Air Lines Inc.","7369"
"Portland","Oregon","Denver","SkyWest Airlines Inc.","76"
"Cincinnati","Kentucky","Denver","SkyWest Airlines Inc.","2180"
"Chicago","Illinois","Colorado Springs","ExpressJet Airlines Inc.","142"
"Raleigh/Durham","North Carolina","Denver","Southwest Airlines Co.","8747"
"Dallas/Fort Worth","Texas","Denver","United Air Lines Inc.","16429"
"Houston","Texas","Denver","Southwest Airlines Co.","26448"
"New York","New York","Denver","Delta Air Lines Inc.","19441"
"Nashville","Tennessee","Denver","Frontier Airlines Inc.","5779"
"Las Vegas","Nevada","Denver","Frontier Airlines Inc.","19771"
"Los Angeles","California","Grand Junction","Compass Airlines","169"
"Oakland","California","Denver","Federal Express Corporation","0"
"Cleveland","Ohio","Denver","Southwest Airlines Co.","4161"
"Austin","Texas","Denver","Jet Aviation Flight Services, Inc.","1"
"Los Angeles","California","Colorado Springs","SkyWest Airlines Inc.","3168"
"Minneapolis","Minnesota","Denver","Spirit Air Lines","4690"
"Chicago","Illinois","Colorado Springs","SkyWest Airlines Inc.","4648"
"Palm Springs","California","Denver","SkyWest Airlines Inc.","2738"
"Scottsbluff","Nebraska","Denver","Peninsula Airways Inc.","329"
"Tulsa","Oklahoma","Denver","SkyWest Airlines Inc.","1443"
"Pensacola","Florida","Denver","Southwest Airlines Co.","959"
"Birmingham","Alabama","Denver","SkyWest Airlines Inc.","1767"
"Columbus","Ohio","Denver","Frontier Airlines Inc.","4684"
"Austin","Texas","Denver","SkyWest Airlines Inc.","2000"
"Billings","Montana","Denver","SkyWest Airlines Inc.","2113"
"Chicago","Illinois","Colorado Springs","American Airlines Inc.","150"
"Fayetteville","Arkansas","Denver","SkyWest Airlines Inc.","1526"
"Minneapolis","Minnesota","Denver","Republic Airlines","198"
"Pittsburgh","Pennsylvania","Denver","Southwest Airlines Co.","7387"
"Reno","Nevada","Denver","CFM Inc d/b/a Contour Airlines","13"
"Dallas/Fort Worth","Texas","Denver","GoJet Airlines LLC d/b/a United Express","274"
"Spokane","Washington","Denver","United Air Lines Inc.","7966"
"Kansas City","Missouri","Denver","Southwest Airlines Co.","27161"
"Medford","Oregon","Denver","SkyWest Airlines Inc.","1669"
"Philadelphia","Pennsylvania","Denver","Southwest Airlines Co.","9426"
"Tulsa","Oklahoma","Denver","Trans States Airlines","422"
"Atlanta","Georgia","Denver","GoJet Airlines LLC d/b/a United Express","1231"
"Bakersfield","California","Denver","SkyWest Airlines Inc.","2325"
"Billings","Montana","Denver","Trans States Airlines","126"
"Fayetteville","Arkansas","Denver","Trans States Airlines","569"
"Sioux Falls","South Dakota","Denver","United Air Lines Inc.","5052"
"Williston","North Dakota","Denver","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","121"
"Oklahoma City","Oklahoma","Denver","Southwest Airlines Co.","10895"
"San Antonio","Texas","Denver","Southwest Airlines Co.","12096"
"Casper","Wyoming","Denver","GoJet Airlines LLC d/b/a United Express","3257"
"New Orleans","Louisiana","Denver","United Air Lines Inc.","8000"
"Cheyenne","Wyoming","Denver","Southwest Airlines Co.","453"
"Springfield","Missouri","Denver","GoJet Airlines LLC d/b/a United Express","1171"
"Dallas/Fort Worth","Texas","Durango","Mesa Airlines Inc.","5630"
"Memphis","Tennessee","Denver","SkyWest Airlines Inc.","749"
"Kahului","Hawaii","Denver","United Air Lines Inc.","3450"
"Washington","Virginia","Denver","Southwest Airlines Co.","11968"
"Los Angeles","California","Aspen","SkyWest Airlines Inc.","2578"
"Chicago","Illinois","Aspen","SkyWest Airlines Inc.","2878"
"Salt Lake City","Utah","Denver","Delta Air Lines Inc.","15695"
